atc_name|atc_code|level
attapulgite, combinations|A07BC54|7
ELECTROLYTES WITH CARBOHYDRATES|A07C|4
Oral rehydration salt formulations|A07CA|5
ANTIPROPULSIVES|A07D|4
Antipropulsives|A07DA|5
diphenoxylate|A07DA01|7
opium|A07DA02|7
loperamide|A07DA03|7
difenoxin|A07DA04|7
loperamide oxide|A07DA05|7
eluxadoline|A07DA06|7
morphine, combinations|A07DA52|7
loperamide, combinations|A07DA53|7
INTESTINAL ANTIINFLAMMATORY AGENTS|A07E|4
Corticosteroids acting locally|A07EA|5
prednisolone|A07EA01|7
hydrocortisone|A07EA02|7
prednisone|A07EA03|7
betamethasone|A07EA04|7
tixocortol|A07EA05|7
budesonide|A07EA06|7
beclometasone|A07EA07|7
Antiallergic agents, excl. corticosteroids|A07EB|5
cromoglicic acid|A07EB01|7
Aminosalicylic acid and similar agents|A07EC|5
sulfasalazine|A07EC01|7
mesalazine|A07EC02|7
olsalazine|A07EC03|7
balsalazide|A07EC04|7
ANTIDIARRHEAL MICROORGANISMS|A07F|4
Antidiarrheal microorganisms|A07FA|5
lactic acid producing organisms|A07FA01|7
saccharomyces boulardii|A07FA02|7
escherichia coli|A07FA03|7
lactic acid producing organisms, combinations|A07FA51|7
OTHER ANTIDIARRHEALS|A07X|4
Other antidiarrheals|A07XA|5
albumin tannate|A07XA01|7
ceratonia|A07XA02|7
calcium compounds|A07XA03|7
racecadotril|A07XA04|7
crofelemer|A07XA06|7
albumin tannate, combinations|A07XA51|7
ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS|A08|3
ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS|A08A|4
Centrally acting antiobesity products|A08AA|5
phentermine|A08AA01|7
fenfluramine|A08AA02|7
amfepramone|A08AA03|7
dexfenfluramine|A08AA04|7
mazindol|A08AA05|7
etilamfetamine|A08AA06|7
cathine|A08AA07|7
clobenzorex|A08AA08|7
mefenorex|A08AA09|7
sibutramine|A08AA10|7
lorcaserin|A08AA11|7
setmelanotide|A08AA12|7
phentermine and topiramate|A08AA51|7
ephedrine, combinations|A08AA56|7
bupropion and naltrexone|A08AA62|7
Peripherally acting antiobesity products|A08AB|5
orlistat|A08AB01|7
Other antiobesity drugs|A08AX|5
rimonabant|A08AX01|7
DIGESTIVES, INCL. ENZYMES|A09|3
DIGESTIVES, INCL. ENZYMES|A09A|4
Enzyme preparations|A09AA|5
diastase|A09AA01|7
multienzymes (lipase, protease etc.)|A09AA02|7
pepsin|A09AA03|7
tilactase|A09AA04|7
Acid preparations|A09AB|5
glutamic acid hydrochloride|A09AB01|7
betaine hydrochloride|A09AB02|7
hydrochloric acid|A09AB03|7
citric acid|A09AB04|7
Enzyme and acid preparations, combinations|A09AC|5
pepsin and acid preparations|A09AC01|7
multienzymes and acid preparations|A09AC02|7
DRUGS USED IN DIABETES|A10|3
INSULINS AND ANALOGUES|A10A|4
Insulins and analogues for injection, fast-acting|A10AB|5
insulin (human)|A10AB01|7
insulin (beef)|A10AB02|7
insulin (pork)|A10AB03|7
insulin lispro|A10AB04|7
insulin aspart|A10AB05|7
insulin glulisine|A10AB06|7
combinations|A10AB30|7
Insulins and analogues for injection, intermediate-acting|A10AC|5
insulin (human)|A10AC01|7
insulin (beef)|A10AC02|7
insulin (pork)|A10AC03|7
insulin lispro|A10AC04|7
combinations|A10AC30|7
Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting|A10AD|5
insulin (human)|A10AD01|7
insulin (beef)|A10AD02|7
insulin (pork)|A10AD03|7
insulin lispro|A10AD04|7
insulin aspart|A10AD05|7
insulin degludec and insulin aspart|A10AD06|7
combinations|A10AD30|7
Insulins and analogues for injection, long-acting|A10AE|5
insulin (human)|A10AE01|7
insulin (beef)|A10AE02|7
insulin (pork)|A10AE03|7
insulin glargine|A10AE04|7
insulin detemir|A10AE05|7
insulin degludec|A10AE06|7
insulin icodec|A10AE07|7
combinations|A10AE30|7
insulin glargine and lixisenatide|A10AE54|7
insulin degludec and liraglutide|A10AE56|7
Insulins and analogues for inhalation|A10AF|5
insulin (human)|A10AF01|7
BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS|A10B|4
Biguanides|A10BA|5
phenformin|A10BA01|7
metformin|A10BA02|7
buformin|A10BA03|7
Sulfonylureas|A10BB|5
glibenclamide|A10BB01|7
chlorpropamide|A10BB02|7
tolbutamide|A10BB03|7
glibornuride|A10BB04|7
tolazamide|A10BB05|7
carbutamide|A10BB06|7
glipizide|A10BB07|7
gliquidone|A10BB08|7
gliclazide|A10BB09|7
metahexamide|A10BB10|7
glisoxepide|A10BB11|7
glimepiride|A10BB12|7
acetohexamide|A10BB31|7
Sulfonamides (heterocyclic)|A10BC|5
glymidine|A10BC01|7
Combinations of oral blood glucose lowering drugs|A10BD|5
phenformin and sulfonylureas|A10BD01|7
metformin and sulfonylureas|A10BD02|7
metformin and rosiglitazone|A10BD03|7
glimepiride and rosiglitazone|A10BD04|7
metformin and pioglitazone|A10BD05|7
glimepiride and pioglitazone|A10BD06|7
metformin and sitagliptin|A10BD07|7
metformin and vildagliptin|A10BD08|7
pioglitazone and alogliptin|A10BD09|7
metformin and saxagliptin|A10BD10|7
metformin and linagliptin|A10BD11|7
pioglitazone and sitagliptin|A10BD12|7
metformin and alogliptin|A10BD13|7
metformin and repaglinide|A10BD14|7
metformin and dapagliflozin|A10BD15|7
metformin and canagliflozin|A10BD16|7
metformin and acarbose|A10BD17|7
metformin and gemigliptin|A10BD18|7
linagliptin and empagliflozin|A10BD19|7
metformin and empagliflozin|A10BD20|7
saxagliptin and dapagliflozin|A10BD21|7
metformin and evogliptin|A10BD22|7
metformin and ertugliflozin|A10BD23|7
sitagliptin and ertugliflozin|A10BD24|7
metformin, saxagliptin and dapagliflozin|A10BD25|7
metformin and lobeglitazone|A10BD26|7
metformin, linagliptin and empagliflozin|A10BD27|7
metformin and teneligliptin|A10BD28|7
sitagliptin and dapagliflozin|A10BD29|7
gemigliptin and dapagliflozin|A10BD30|7
Alpha glucosidase inhibitors|A10BF|5
acarbose|A10BF01|7
miglitol|A10BF02|7
voglibose|A10BF03|7
Thiazolidinediones|A10BG|5
troglitazone|A10BG01|7
rosiglitazone|A10BG02|7
pioglitazone|A10BG03|7
lobeglitazone|A10BG04|7
Dipeptidyl peptidase 4 (DPP-4) inhibitors|A10BH|5
sitagliptin|A10BH01|7
vildagliptin|A10BH02|7
saxagliptin|A10BH03|7
alogliptin|A10BH04|7
linagliptin|A10BH05|7
gemigliptin|A10BH06|7
evogliptin|A10BH07|7
teneligliptin|A10BH08|7
sitagliptin and simvastatin|A10BH51|7
gemigliptin and rosuvastatin|A10BH52|7
Glucagon-like peptide-1 (GLP-1) analogues|A10BJ|5
exenatide|A10BJ01|7
liraglutide|A10BJ02|7
lixisenatide|A10BJ03|7
albiglutide|A10BJ04|7
dulaglutide|A10BJ05|7
semaglutide|A10BJ06|7
beinaglutide|A10BJ07|7
Sodium-glucose co-transporter 2 (SGLT2) inhibitors|A10BK|5
dapagliflozin|A10BK01|7
canagliflozin|A10BK02|7
empagliflozin|A10BK03|7
ertugliflozin|A10BK04|7
ipragliflozin|A10BK05|7
sotagliflozin|A10BK06|7
luseogliflozin|A10BK07|7
bexagliflozin|A10BK08|7
enavogliflozin|A10BK09|7
Other blood glucose lowering drugs, excl. insulins|A10BX|5
guar gum|A10BX01|7
repaglinide|A10BX02|7
nateglinide|A10BX03|7
pramlintide|A10BX05|7
benfluorex|A10BX06|7
mitiglinide|A10BX08|7
imeglimin|A10BX15|7
tirzepatide|A10BX16|7
carfloglitazar|A10BX17|7
dorzagliatin|A10BX18|7
OTHER DRUGS USED IN DIABETES|A10X|4
Aldose reductase inhibitors|A10XA|5
tolrestat|A10XA01|7
Other drugs used in diabetes|A10XX|5
teplizumab|A10XX01|7
donislecel|A10XX02|7
VITAMINS|A11|3
MULTIVITAMINS, COMBINATIONS|A11A|4
Multivitamins with minerals|A11AA|5
multivitamins and iron|A11AA01|7
multivitamins and calcium|A11AA02|7
multivitamins and other minerals, incl. combinations|A11AA03|7
multivitamins and trace elements|A11AA04|7
Multivitamins, other combinations|A11AB|5
MULTIVITAMINS, PLAIN|A11B|4
Multivitamins, plain|A11BA|5
VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO|A11C|4
Vitamin A, plain|A11CA|5
retinol (vit A)|A11CA01|7
betacarotene|A11CA02|7
Vitamin A and D in combination|A11CB|5
Vitamin D and analogues|A11CC|5
ergocalciferol|A11CC01|7
dihydrotachysterol|A11CC02|7
alfacalcidol|A11CC03|7
calcitriol|A11CC04|7
colecalciferol|A11CC05|7
calcifediol|A11CC06|7
combinations|A11CC20|7
colecalciferol, combinations|A11CC55|7
VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12|A11D|4
Vitamin B1, plain|A11DA|5
thiamine (vit B1)|A11DA01|7
sulbutiamine|A11DA02|7
benfotiamine|A11DA03|7
Vitamin B1 in combination with vitamin B6 and/or vitamin B12|A11DB|5
VITAMIN B-COMPLEX, INCL. COMBINATIONS|A11E|4
Vitamin B-complex, plain|A11EA|5
Vitamin B-complex with vitamin C|A11EB|5
Vitamin B-complex with minerals|A11EC|5
Vitamin B-complex with anabolic steroids|A11ED|5
Vitamin B-complex, other combinations|A11EX|5
ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS|A11G|4
Ascorbic acid (vitamin C), plain|A11GA|5
ascorbic acid (vit C)|A11GA01|7
Ascorbic acid (vitamin C), combinations|A11GB|5
ascorbic acid (vit C) and calcium|A11GB01|7
OTHER PLAIN VITAMIN PREPARATIONS|A11H|4
Other plain vitamin preparations|A11HA|5
nicotinamide|A11HA01|7
pyridoxine (vit B6)|A11HA02|7
tocopherol (vit E)|A11HA03|7
riboflavin (vit B2)|A11HA04|7
biotin|A11HA05|7
pyridoxal phosphate|A11HA06|7
inositol|A11HA07|7
tocofersolan|A11HA08|7
dexpanthenol|A11HA30|7
calcium pantothenate|A11HA31|7
pantethine|A11HA32|7
OTHER VITAMIN PRODUCTS, COMBINATIONS|A11J|4
Combinations of vitamins|A11JA|5
Vitamins with minerals|A11JB|5
Vitamins, other combinations|A11JC|5
MINERAL SUPPLEMENTS|A12|3
CALCIUM|A12A|4
Calcium|A12AA|5
calcium phosphate|A12AA01|7
calcium glubionate|A12AA02|7
calcium gluconate|A12AA03|7
calcium carbonate|A12AA04|7
calcium lactate|A12AA05|7
calcium lactate gluconate|A12AA06|7
calcium chloride|A12AA07|7
calcium glycerylphosphate|A12AA08|7
calcium citrate lysine complex|A12AA09|7
calcium glucoheptonate|A12AA10|7
calcium pangamate|A12AA11|7
calcium citrate|A12AA13|7
calcium (different salts in combination)|A12AA20|7
calcium laevulate|A12AA30|7
Calcium, combinations with vitamin D and/or other drugs|A12AX|5
POTASSIUM|A12B|4
Potassium|A12BA|5
potassium chloride|A12BA01|7
potassium citrate|A12BA02|7
potassium hydrogentartrate|A12BA03|7
potassium hydrogencarbonate|A12BA04|7
potassium gluconate|A12BA05|7
potassium (different salts in combination)|A12BA30|7
potassium, combinations|A12BA51|7
OTHER MINERAL SUPPLEMENTS|A12C|4
Sodium|A12CA|5
sodium chloride|A12CA01|7
sodium sulfate|A12CA02|7
Zinc|A12CB|5
zinc sulfate|A12CB01|7
zinc gluconate|A12CB02|7
zinc protein complex|A12CB03|7
Magnesium|A12CC|5
magnesium chloride|A12CC01|7
magnesium sulfate|A12CC02|7
magnesium gluconate|A12CC03|7
magnesium citrate|A12CC04|7
magnesium aspartate|A12CC05|7
magnesium lactate|A12CC06|7
magnesium levulinate|A12CC07|7
magnesium pidolate|A12CC08|7
magnesium orotate|A12CC09|7
magnesium oxide|A12CC10|7
magnesium (different salts in combination)|A12CC30|7
Fluoride|A12CD|5
sodium fluoride|A12CD01|7
sodium monofluorophosphate|A12CD02|7
fluoride, combinations|A12CD51|7
Selenium|A12CE|5
