"hersteller"|"generika"|"bag_dossier"|"swissmedic_nr"|"swissmedic_liste"|"einf_datum"|"bezeichnung"|"exf_preis"|"pub_preis"|"limitation"|"lim_pkte"|"therap_gruppe"|"substanzen"|"rec_id"|"x40_percent_selbstbehalt"|"gtin"|"atc"|"gammennummer"|"gammenbezeichnung"|"ggsl"|"preismodell"|"indikationscode"|"swissmedic_no8_parallel_imp"|"ref_biosim_code"|"letzte_preis_anderung"|"zulassungsnummer"
"Otsuka Pharmaceutical (Switzerland) GmbH"|"O"|"18361"|"57348007"|"B"|2007-09-01|"Abilify, Schmelztabl 10 mg, 28 Stk"|"51.1"|"71.55"|NA|NA|"01.05."|"Aripiprazolum"|"15538"|"N"|"7680573480077"|"N05AX12"|"4"|"Abilify Oral"|"N"|NA|NA|NA|NA|2024-05-01|"57348"
"Otsuka Pharmaceutical (Switzerland) GmbH"|"O"|"18361"|"57348011"|"B"|2007-09-01|"Abilify, Schmelztabl 15 mg, 28 Stk"|"56.8"|"77.7"|NA|NA|"01.05."|"Aripiprazolum"|"15539"|"N"|"7680573480114"|"N05AX12"|"4"|"Abilify Oral"|"N"|NA|NA|NA|NA|2024-05-01|"57348"
"Otsuka Pharmaceutical (Switzerland) GmbH"|"O"|"19044"|"57831004"|"B"|2010-05-01|"Abilify, Sirup 1 mg/ml, Fl 150 ml"|"87.39"|"110.65"|"Y"|NA|"01.05."|"Aripiprazolum"|"40629"|"N"|"7680578310041"|"N05AX12"|"5"|"Abilify OralFluessig"|"N"|NA|NA|NA|NA|2024-12-01|"57831"
"Lundbeck (Schweiz) AG"|NA|"20501"|"65774001"|"B"|2016-05-01|"Abilify Maintena Depot, Inj Susp 400 mg Fertigspritze, 1 Stk"|"271.72"|"311.95"|NA|NA|"01.05."|"Aripiprazolum"|"36374"|"N"|"7680657740011"|"N05AX12"|"3851"|"Abilify ParenteralDepot"|"N"|NA|NA|NA|NA|2024-11-01|"65774"
"Lundbeck (Schweiz) AG"|NA|"20241"|"63177003"|"B"|2014-10-01|"Abilify Maintena Depot, Inj Susp 300 mg, Inj kit 1 Stk"|"271.72"|"311.95"|NA|NA|"01.05."|"Aripiprazolum"|"35931"|"N"|"7680631770034"|"N05AX12"|"3851"|"Abilify ParenteralDepot"|"N"|NA|NA|NA|NA|2024-11-01|"63177"
"Accord Healthcare AG"|"G"|"21423"|"67950001"|"B"|2022-04-01|"Abirateron Accord, Filmtabl 500 mg, Blist 56 Stk"|"897.8"|"992.05"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"42451"|"N"|"7680679500013"|"L02BX03"|"4411"|"Abirateron Accord Oral"|"N"|"PM"|"21423.01"|NA|NA|2022-04-01|"67950"
"Devatis AG"|"G"|"21737"|"68981001"|"B"|2024-04-01|"Abirateron Devatis, Filmtabl 500 mg, Blist 56 Stk"|"808.02"|"899.9"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"43736"|"N"|"7680689810010"|"L02BX03"|"4673"|"Abirateron Devatis Oral"|"N"|"PM"|"21737.01"|NA|NA|2024-04-01|"68981"
"Sandoz Pharmaceuticals AG"|"G"|"21316"|"67818002"|"B"|2022-01-01|"Abirateron Sandoz, Filmtabl 500 mg, Blist 56 Stk"|"897.8"|"992.05"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"41365"|"N"|"7680678180025"|"L02BX03"|"4373"|"Abirateron Sandoz Oral"|"N"|"PM"|"21316.01"|NA|NA|2022-01-01|"67818"
"Sandoz Pharmaceuticals AG"|"G"|"21316"|"67818003"|"B"|2022-10-01|"Abirateron Sandoz, Filmtabl 1000 mg, Blist 28 Stk"|"897.8"|"992.85"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"41363"|"N"|"7680678180032"|"L02BX03"|"4373"|"Abirateron Sandoz Oral"|"N"|"PM"|"21316.01"|NA|NA|2022-10-01|"67818"
"Spirig HealthCare AG"|"G"|"21356"|"68141002"|"B"|2022-01-01|"Abirateron Spirig HC, Filmtabl 500 mg, Blist 56 Stk"|"897.8"|"992.05"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"42224"|"N"|"7680681410027"|"L02BX03"|"4374"|"Abirateron Spirig HC Oral"|"N"|"PM"|"21356.01"|NA|NA|2022-01-01|"68141"
"Viatris Pharma GmbH"|"G"|"21600"|"68890001"|"B"|2023-04-01|"Abirateron Viatris, Filmtabl 500 mg, 56 Stk"|"897.8"|"992.05"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"43107"|"N"|"7680688900019"|"L02BX03"|"4564"|"Abirateron Viatris Oral"|"N"|"PM"|"21600.01"|NA|NA|2023-04-01|"68890"
"Viatris Pharma GmbH"|"G"|"21600"|"68890002"|"B"|2023-04-01|"Abirateron Viatris, Filmtabl 1000 mg, 28 Stk"|"897.8"|"992.85"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"43108"|"N"|"7680688900026"|"L02BX03"|"4564"|"Abirateron Viatris Oral"|"N"|"PM"|"21600.01"|NA|NA|2023-04-01|"68890"
"Helvepharm AG"|"G"|"21481"|"68334001"|"B"|2022-09-01|"Abirateron Zentiva, Filmtabl 500 mg, Blist 56 Stk"|"897.8"|"992.05"|"Y"|NA|"07.16.20."|"Abirateroni acetas"|"42704"|"N"|"7680683340018"|"L02BX03"|"4465"|"Abirateron Zentiva Oral"|"N"|"PM"|"21481.01"|NA|NA|2022-09-01|"68334"
"Bristol-Myers Squibb SA"|"O"|"20247"|"63182001"|"A"|2015-04-01|"Abraxane, Trockensub 100 mg, Durchstf 1 Stk"|"296.98"|"332.1"|"Y"|NA|"07.16.10."|"Paclitaxelum"|"33976"|"N"|"7680631820012"|"L01CD01"|"3496"|"Abraxane Parenteral"|"N"|NA|NA|NA|NA|2023-12-01|"63182"
"Pfizer AG"|NA|"21203"|"67831001"|"B"|2021-06-01|"Abrilada, Inj Lös 40 mg/0.8ml, Fertpen 0.8 ml"|"371.1"|"419.95"|"Y"|NA|"07.15."|"Adalimumabum"|"41724"|"N"|"7680678310019"|"L04AB04"|"4257"|"Abrilada Parenteral"|"N"|NA|NA|NA|"BioS"|2023-12-01|"67831"
"Pfizer AG"|NA|"21203"|"67831002"|"B"|2021-06-01|"Abrilada, Inj Lös 40 mg/0.8ml, 2 Fertpen 0.8 ml"|"742.2"|"823.5"|"Y"|NA|"07.15."|"Adalimumabum"|"41723"|"N"|"7680678310026"|"L04AB04"|"4257"|"Abrilada Parenteral"|"N"|NA|NA|NA|"BioS"|2023-12-01|"67831"
"Pfizer AG"|NA|"21266"|"67832001"|"B"|2022-03-01|"Abrilada, Inj Lös 40 mg/0.8ml, Fertspr 0.8 ml"|"371.1"|"419.95"|"Y"|NA|"07.15."|"Adalimumabum"|"42381"|"N"|"7680678320018"|"L04AB04"|"4257"|"Abrilada Parenteral"|"N"|NA|NA|NA|"BioS"|2023-12-01|"67832"
"Pfizer AG"|NA|"21266"|"67832002"|"B"|2022-03-01|"Abrilada, Inj Lös 40 mg/0.8ml, 2 Fertspr 0.8 ml"|"742.2"|"823.5"|"Y"|NA|"07.15."|"Adalimumabum"|"42380"|"N"|"7680678320025"|"L04AB04"|"4257"|"Abrilada Parenteral"|"N"|NA|NA|NA|"BioS"|2023-12-01|"67832"
"ALK-Abelló AG"|NA|"20553"|"65823001"|"A"|2016-11-01|"Acarizax Lyophilisat zum Einnehmen, Subling Tabl 12 SQ-HDM, Ds 30 Stk"|"77.3"|"100.5"|"Y"|NA|"07.13.30."|"Acari allergeni extractum"|"37173"|"N"|"7680658230016"|"V01AA03"|"3707"|"Acarizax Oral"|"N"|NA|NA|NA|NA|2023-12-01|"65823"
"ALK-Abelló AG"|NA|"20553"|"65823002"|"A"|2016-11-01|"Acarizax Lyophilisat zum Einnehmen, Subling Tabl 12 SQ-HDM, Ds 90 Stk"|"231.92"|"268.65"|"Y"|NA|"07.13.30."|"Acari allergeni extractum"|"37174"|"N"|"7680658230023"|"V01AA03"|"3707"|"Acarizax Oral"|"N"|NA|NA|NA|NA|2023-12-01|"65823"
"Accord Healthcare AG"|NA|"20992"|"66715003"|"A"|2023-09-01|"Accofil, Inj Lös 300 mcg/0.5 ml m Nadelsch, Fertspr 1 Stk"|"57.43"|"78.85"|"Y"|NA|"06.07.30."|"Filgrastimum ADNr"|"43338"|"N"|"7680667150039"|"L03AA02"|"4061"|"Accofil Parenteral"|"N"|NA|NA|NA|"BioS"|2024-12-01|"66715"
"Accord Healthcare AG"|NA|"20992"|"66715005"|"A"|2019-11-01|"Accofil, Inj Lös 300 mcg/0.5 ml m Nadelsch, Fertspr 5 Stk"|"293.98"|"335.45"|"Y"|NA|"06.07.30."|"Filgrastimum ADNr"|"43339"|"N"|"7680667150053"|"L03AA02"|"4061"|"Accofil Parenteral"|"N"|NA|NA|NA|"BioS"|2024-12-01|"66715"
"Accord Healthcare AG"|NA|"20992"|"66715004"|"A"|2023-09-01|"Accofil, Inj Lös 480 mcg/0.5 ml m Nadelsch, Fertspr 1 Stk"|"82.76"|"106.4"|"Y"|NA|"06.07.30."|"Filgrastimum ADNr"|"43340"|"N"|"7680667150046"|"L03AA02"|"4061"|"Accofil Parenteral"|"N"|NA|NA|NA|"BioS"|2024-12-01|"66715"
"Accord Healthcare AG"|NA|"20992"|"66715006"|"A"|2019-11-01|"Accofil, Inj Lös 480 mcg/0.5 ml m Nadelsch, Fertspr 5 Stk"|"413.82"|"465.5"|"Y"|NA|"06.07.30."|"Filgrastimum ADNr"|"43341"|"N"|"7680667150060"|"L03AA02"|"4061"|"Accofil Parenteral"|"N"|NA|NA|NA|"BioS"|2024-12-01|"66715"
"GE Healthcare AG"|"G"|"17827"|"54637136"|"B"|2009-04-01|"Accupaque, Inj Lös 300 mg, Plast Fl 50 ml"|"32"|"51.2"|NA|NA|"14.01.13."|"Iohexolum"|"22074"|"N"|"7680546371364"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2005-05-01|"54637"
"GE Healthcare AG"|"G"|"17827"|"54637152"|"B"|2009-04-01|"Accupaque, Inj Lös 300 mg, Plast Fl 100 ml"|"61.15"|"82.9"|NA|NA|"14.01.13."|"Iohexolum"|"22076"|"N"|"7680546371524"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2006-03-31|"54637"
"GE Healthcare AG"|"G"|"17827"|"54637168"|"B"|2009-04-01|"Accupaque, Inj Lös 300 mg, Plast Fl 200 ml"|"120.6"|"147.6"|NA|NA|"14.01.13."|"Iohexolum"|"22078"|"N"|"7680546371685"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2005-05-01|"54637"
"GE Healthcare AG"|"G"|"17827"|"54637184"|"B"|2020-06-01|"Accupaque, Inj Lös 300 mg, Plast Fl 500 ml"|"301.5"|"344.3"|"Y"|NA|"14.01.13."|"Iohexolum"|"41072"|"N"|"7680546371845"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2020-06-01|"54637"
"GE Healthcare AG"|"G"|"17827"|"54637200"|"B"|2005-12-01|"Accupaque, Inj Lös 350 mg, Plast Fl 50 ml"|"33.97"|"53.35"|NA|NA|"14.01.13."|"Iohexolum"|"15385"|"N"|"7680546372002"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2005-12-01|"54637"
"GE Healthcare AG"|"G"|"17827"|"54637216"|"B"|2005-12-01|"Accupaque, Inj Lös 350 mg, Plast Fl 100 ml"|"66.88"|"89.15"|NA|NA|"14.01.13."|"Iohexolum"|"15386"|"N"|"7680546372163"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2006-03-31|"54637"
"GE Healthcare AG"|"G"|"17827"|"54637232"|"B"|2005-12-01|"Accupaque, Inj Lös 350 mg, Plast Fl 200 ml"|"129.28"|"157"|NA|NA|"14.01.13."|"Iohexolum"|"15387"|"N"|"7680546372323"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2006-03-31|"54637"
"GE Healthcare AG"|"G"|"17827"|"54637248"|"B"|2020-06-01|"Accupaque, Inj Lös 350 mg, Plast Fl 500 ml"|"323.2"|"367.9"|"Y"|NA|"14.01.13."|"Iohexolum"|"41071"|"N"|"7680546372484"|"V08AB02"|"9"|"Accupaque Parenteral"|"N"|NA|NA|NA|NA|2020-06-01|"54637"
"Leman SKL SA"|"G"|"21791"|"68957002"|"B"|2024-09-01|"Aceduo Leman, Gel, Disp 45 g"|"12.75"|"30.5"|NA|NA|"10.02."|"Adapalenum, Benzoylis peroxidum"|"43942"|"N"|"7680689570020"|"D10AD53"|"4708"|"Aceduo Leman Topisch"|"N"|NA|NA|NA|NA|2025-03-01|"68957"
"Streuli Pharma AG"|NA|"20018"|"62355001"|"B"|2013-01-01|"Acetalgin, Tabl 1 g, 16 Stk"|"2.21"|"11.65"|NA|NA|"01.01.10."|"Paracetamolum"|"31025"|"N"|"7680623550019"|"N02BE01"|"13"|"Acetalgin Oral"|"N"|NA|NA|NA|NA|2013-01-01|"62355"
"Streuli Pharma AG"|NA|"20018"|"62355002"|"B"|2013-01-01|"Acetalgin, Tabl 1 g, 40 Stk"|"4.58"|"14.2"|NA|NA|"01.01.10."|"Paracetamolum"|"31026"|"N"|"7680623550026"|"N02BE01"|"13"|"Acetalgin Oral"|"N"|NA|NA|NA|NA|2014-10-01|"62355"
"Streuli Pharma AG"|NA|"20018"|"62355003"|"B"|2013-01-01|"Acetalgin, Tabl 1 g, 100 Stk"|"9.05"|"26.25"|NA|NA|"01.01.10."|"Paracetamolum"|"31024"|"N"|"7680623550033"|"N02BE01"|"13"|"Acetalgin Oral"|"N"|NA|NA|NA|NA|2014-10-01|"62355"
"Streuli Pharma AG"|NA|"14115"|"34186057"|"D"|1983-03-15|"Acetalgin, Tabl 500 mg, 20 Stk"|"1.38"|"2.55"|NA|NA|"01.01.10."|"Paracetamolum"|"47"|"N"|"7680341860575"|"N02BE01"|"13"|"Acetalgin Oral"|"N"|NA|NA|NA|NA|2012-02-01|"34186"
"Streuli Pharma AG"|NA|"14115"|"34186014"|"B"|2004-08-01|"Acetalgin, Tabl 500 mg, 100 Stk"|"5.85"|"15.6"|NA|NA|"01.01.10."|"Paracetamolum"|"14428"|"N"|"7680341860148"|"N02BE01"|"13"|"Acetalgin Oral"|"N"|NA|NA|NA|NA|2004-08-01|"34186"
"Streuli Pharma AG"|NA|"14115"|"34186030"|"B"|2020-05-01|"Acetalgin, Tabl 500 mg, 500 Stk"|"24.8"|"43.4"|"Y"|NA|"01.01.10."|"Paracetamolum"|"18667"|"N"|"7680341860308"|"N02BE01"|"13"|"Acetalgin Oral"|"N"|NA|NA|NA|NA|2020-05-01|"34186"
"Streuli Pharma AG"|NA|"14115"|"34186001"|"B"|2024-07-01|"Acetalgin, Tabl 500 mg, 5 x 100 Stk"|"24.8"|"43.4"|"Y"|NA|"01.01.10."|"Paracetamolum"|"43849"|"N"|"7680341860018"|"N02BE01"|"13"|"Acetalgin Oral"|"N"|NA|NA|NA|NA|2024-07-01|"34186"
"Streuli Pharma AG"|NA|"15570"|"49493010"|"D"|1990-03-15|"Acetalgin, Supp 125 mg, 10 Stk"|"1.56"|"2.9"|NA|NA|"01.01.10."|"Paracetamolum"|"48"|"N"|"7680494930101"|"N02BE01"|"14"|"Acetalgin RektalVaginal"|"N"|NA|NA|NA|NA|2021-12-01|"49493"
"Streuli Pharma AG"|NA|"15570"|"49493053"|"D"|1990-03-15|"Acetalgin, Supp 250 mg, 10 Stk"|"1.72"|"3.2"|NA|NA|"01.01.10."|"Paracetamolum"|"49"|"N"|"7680494930538"|"N02BE01"|"14"|"Acetalgin RektalVaginal"|"N"|NA|NA|NA|NA|2021-12-01|"49493"
"Streuli Pharma AG"|NA|"15570"|"49493118"|"D"|1990-03-15|"Acetalgin, Supp 500 mg, 10 Stk"|"1.97"|"3.65"|NA|NA|"01.01.10."|"Paracetamolum"|"50"|"N"|"7680494931184"|"N02BE01"|"14"|"Acetalgin RektalVaginal"|"N"|NA|NA|NA|NA|2021-12-01|"49493"
"Helvepharm AG"|"G"|"18037"|"52132001"|"D"|2004-07-01|"Acetylcystein Zentiva, Brausetabl 200 mg, 30 Stk"|"2.84"|"5.55"|NA|NA|"03.02."|"Acetylcysteinum"|"42068"|"N"|"7680521320011"|"R05CB01"|"16"|"Acetylcystein Zentiva Oral"|"N"|NA|NA|NA|NA|2022-12-01|"52132"
"Helvepharm AG"|"G"|"18037"|"52132002"|"D"|2004-07-01|"Acetylcystein Zentiva, Brausetabl 600 mg, 10 Stk"|"3.14"|"5.7"|NA|NA|"03.02."|"Acetylcysteinum"|"42069"|"N"|"7680521320028"|"R05CB01"|"16"|"Acetylcystein Zentiva Oral"|"N"|NA|NA|NA|NA|2022-12-01|"52132"
"Dermapharm AG"|"G"|"20056"|"61876001"|"A"|2013-05-01|"Acicutan, Kaps 10 mg, 30 Stk"|"21.88"|"40.2"|"Y"|NA|"10.03."|"Acitretinum"|"31028"|"N"|"7680618760010"|"D05BB02"|"3143"|"Acicutan Oral"|"N"|NA|NA|NA|NA|2024-12-01|"61876"
"Dermapharm AG"|"G"|"20056"|"61876002"|"A"|2013-05-01|"Acicutan, Kaps 10 mg, 100 Stk"|"75.45"|"98.45"|"Y"|NA|"10.03."|"Acitretinum"|"31027"|"N"|"7680618760027"|"D05BB02"|"3143"|"Acicutan Oral"|"N"|NA|NA|NA|NA|2024-12-01|"61876"
"Dermapharm AG"|"G"|"20056"|"61876003"|"A"|2013-05-01|"Acicutan, Kaps 25 mg, 30 Stk"|"48.67"|"69.35"|"Y"|NA|"10.03."|"Acitretinum"|"31030"|"N"|"7680618760034"|"D05BB02"|"3143"|"Acicutan Oral"|"N"|NA|NA|NA|NA|2024-12-01|"61876"
"Dermapharm AG"|"G"|"20056"|"61876004"|"A"|2013-05-01|"Acicutan, Kaps 25 mg, 100 Stk"|"155.81"|"185.85"|"Y"|NA|"10.03."|"Acitretinum"|"31029"|"N"|"7680618760041"|"D05BB02"|"3143"|"Acicutan Oral"|"N"|NA|NA|NA|NA|2024-12-01|"61876"
"Streuli Pharma AG"|NA|"18081"|"36752017"|"B"|2004-08-01|"Acidum folicum Streuli, Tabl 5 mg, 100 Stk"|"5.25"|"14.95"|NA|NA|"06.07.30."|"Acidum folicum"|"14427"|"N"|"7680367520170"|"B03BB01"|"18"|"Acidum folicum Streuli Oral"|"N"|NA|NA|NA|NA|2004-08-01|"36752"
"OmniVision AG"|NA|"21558"|"68800001"|"A"|2023-06-01|"AciVision, Augensalbe 30 mg/g, Tb 4.5 g"|"9.69"|"26.95"|NA|NA|"11.07.20."|"Aciclovirum"|"43230"|"N"|"7680688000016"|"S01AD03"|"4583"|"AciVision Auge"|"N"|NA|NA|NA|NA|2023-06-01|"68800"
"Sandoz Pharmaceuticals AG"|"O"|"18542"|"57363001"|"B"|2007-12-01|"Aclasta, Inf Lös 5 mg/100ml, Amp 100 ml"|"219.4"|"254.45"|"Y"|NA|"07.99."|"Acidum zoledronicum"|"16133"|"N"|"7680573630014"|"M05BA08"|"19"|"Aclasta Parenteral"|"N"|NA|NA|NA|NA|2024-10-01|"57363"
"Viatris Pharma GmbH"|NA|"20509"|"62513001"|"A"|2016-12-01|"Acnatac, Gel, Tb 30 g"|"15.14"|"32.9"|NA|NA|"10.02."|"Clindamycinum, Tretinoinum"|"34094"|"N"|"7680625130011"|"D10AF51"|"3719"|"Acnatac Topisch"|"N"|NA|NA|NA|NA|2019-02-01|"62513"
"Louis Widmer AG"|NA|"14970"|"47033001"|"D"|1986-03-15|"Acne Creme plus, Creme Widmer, Tb 30 ml"|"6.24"|"11.5"|NA|NA|"10.02."|"Benzoylis peroxidum, Miconazoli nitras"|"41921"|"N"|"7680470330017"|"D10AE51"|"2916"|"Acne Creme Plus Topisch"|"N"|NA|NA|NA|NA|2022-05-01|"47033"
"Roche Pharma (Schweiz) AG"|NA|"19015"|"58868001"|"A"|2009-05-01|"Actemra, Inf Konz 80 mg/4ml, Durchstf 4 ml"|"129.76"|"157.55"|"Y"|NA|"07.15."|"Tocilizumabum"|"23129"|"N"|"7680588680011"|"L04AC07"|"20"|"Actemra Parenteral"|"N"|NA|NA|NA|NA|2024-03-01|"58868"
"Roche Pharma (Schweiz) AG"|NA|"20240"|"63166001"|"A"|2014-11-01|"Actemra, Inj Lös 162 mg/0.9ml, Fertspr 4 Stk"|"962.96"|"1063.7"|"Y"|NA|"07.15."|"Tocilizumabum"|"34108"|"N"|"7680631660014"|"L04AC07"|"20"|"Actemra Parenteral"|"N"|NA|NA|NA|NA|2024-03-01|"63166"
"Roche Pharma (Schweiz) AG"|NA|"20893"|"66931001"|"A"|2019-03-01|"Actemra, Inj Lös 162 mg/0.9ml Fertigpen, Fertpen 4 Stk"|"962.96"|"1063.7"|"Y"|NA|"07.15."|"Tocilizumabum"|"39905"|"N"|"7680669310011"|"L04AC07"|"20"|"Actemra Parenteral"|"N"|NA|NA|NA|NA|2024-03-01|"66931"
"Roche Pharma (Schweiz) AG"|NA|"19015"|"58868002"|"A"|2009-05-01|"Actemra, Inf Konz 200 mg/10ml, Durchstf 10 ml"|"324.39"|"369.2"|"Y"|NA|"07.15."|"Tocilizumabum"|"23130"|"N"|"7680588680028"|"L04AC07"|"20"|"Actemra Parenteral"|"N"|NA|NA|NA|NA|2024-03-01|"58868"
"Roche Pharma (Schweiz) AG"|NA|"19015"|"58868003"|"A"|2009-05-01|"Actemra, Inf Konz 400 mg/20ml, Durchstf 20 ml"|"648.78"|"722"|"Y"|NA|"07.15."|"Tocilizumabum"|"23131"|"N"|"7680588680035"|"L04AC07"|"20"|"Actemra Parenteral"|"N"|NA|NA|NA|NA|2024-03-01|"58868"
"Almirall AG"|NA|"19521"|"61467001"|"A"|2012-02-01|"Actikerall, Lös, Fl 25 ml"|"34.81"|"54.25"|NA|NA|"07.16.40."|"Fluorouracilum, Acidum salicylicum"|"28467"|"N"|"7680614670016"|"L01BC52"|"21"|"Actikerall Topisch"|"N"|NA|NA|NA|NA|2023-12-01|"61467"
"Teva Pharma AG"|NA|"18126"|"57002001"|"A"|2006-02-01|"Actiq, Buccaltabl m integr Applikator 200 mcg, 3 Stk"|"21.23"|"39.5"|"Y"|NA|"01.01.30."|"Fentanylum"|"14579"|"N"|"7680570020016"|"N02AB03"|"23"|"Actiq Oral"|"N"|NA|NA|NA|NA|2024-12-01|"57002"
"Teva Pharma AG"|NA|"18126"|"57002007"|"A"|2006-02-01|"Actiq, Buccaltabl m integr Applikator 200 mcg, 30 Stk"|"201.67"|"235.75"|"Y"|NA|"01.01.30."|"Fentanylum"|"14580"|"N"|"7680570020078"|"N02AB03"|"23"|"Actiq Oral"|"N"|NA|NA|NA|NA|2024-12-01|"57002"
"Teva Pharma AG"|NA|"18126"|"57002009"|"A"|2006-02-01|"Actiq, Buccaltabl m integr Applikator 400 mcg, 3 Stk"|"21.23"|"39.5"|"Y"|NA|"01.01.30."|"Fentanylum"|"14581"|"N"|"7680570020092"|"N02AB03"|"23"|"Actiq Oral"|"N"|NA|NA|NA|NA|2024-12-01|"57002"
"Teva Pharma AG"|NA|"18126"|"57002015"|"A"|2006-02-01|"Actiq, Buccaltabl m integr Applikator 400 mcg, 30 Stk"|"201.67"|"235.75"|"Y"|NA|"01.01.30."|"Fentanylum"|"14582"|"N"|"7680570020153"|"N02AB03"|"23"|"Actiq Oral"|"N"|NA|NA|NA|NA|2024-12-01|"57002"
