"ZULASSUNGSNUMMER","PRAEPARATENAME","ARZNEIFORM","ATC_CODE","HEILMITTEL_CODE","ZULASSUNGSSTATUS","ZULASSUNGSKATEGORIE","ERSTZULASSUNGSDATUM","BASIS_ZULASSUNGSNUMMER","ABGABEKATEGORIE","IT_NUMMER","ANWENDUNGSGEBIET","ABLAUFDATUM","CHARGENFREIGABE_PFLICHT","EINZELEINFUHR_BEWILLIG_PFLICHT","Praep_Name","anz","ZULASSUNGSINHABERIN"
65764,"Snake Venom Anti Serum polyvalent","LSPA","J06AA03","AV","B","",2019-01-30,"","A","15.01.0.","Antivenin",2025-09-11,"","X","snake venom anti serum polyvalent",NA,"Armeeapotheke"
32024,"Procto-Synalar N, unguento rettale","REKS","C05AA10","S","Z","",1966-02-03,"","B","02.09.2.","",9999-12-31,"","","procto-synalar n",2,"FARMACEUTICA TEOFARMA SUISSE SA"
31644,"Ferro-Gradumet, compresse a rilascio prolungato","RETT","B03AA07","S","Z","",1967-06-22,"","D","06.07.1.","",9999-12-31,"","","ferro-gradumet",NA,"FARMACEUTICA TEOFARMA SUISSE SA"
32025,"Procto-Synalar N, supposte","SUPP","C05AA10","S","Z","",1966-02-03,"","B","02.09.2.","",9999-12-31,"","","procto-synalar n",2,"FARMACEUTICA TEOFARMA SUISSE SA"
35366,"Kendural, compresse a rilascio prolungato","RETT","B03AE10","S","Z","",1970-05-08,"","D","06.07.1.","",9999-12-31,"","","kendural",NA,"FARMACEUTICA TEOFARMA SUISSE SA"
36185,"Fero-Folic-500, compresse a rilascio prolungato","RETT","B03AE10","S","Z","",1971-10-01,"","D","06.07.1.","",9999-12-31,"","","fero-folic-500",NA,"FARMACEUTICA TEOFARMA SUISSE SA"
38653,"Topsym polyvalent, unguento","SALB","D07CC05","S","Z","",1975-02-04,"","B","10.05.2.","",9999-12-31,"","","topsym polyvalent",2,"FARMACEUTICA TEOFARMA SUISSE SA"
43144,"Topsym polyvalent, crema","CREM","D07CC05","S","Z","",1981-07-14,"","B","10.05.2.","",9999-12-31,"","","topsym polyvalent",2,"FARMACEUTICA TEOFARMA SUISSE SA"
43945,"Topsym, crema","CREM","D07AC08","S","Z","",1981-12-16,"","B","10.05.1.","",9999-12-31,"","","topsym",NA,"FARMACEUTICA TEOFARMA SUISSE SA"
56457,"Isuprel, Injektionslösung / Konzentrat zur Herstellung einer Infusionslösung","LSIN","C01CA02","S","Z","",2010-10-28,"","B","02.05.2.","Sympathomimetikum",9999-12-31,"","","isuprel",NA,"Ospedalia AG"
62451,"Thiopental Inresa, Pulver zur Herstellung einer Injektions-/Infusionslösung","PULPA","N01AF03","S","Z","",2014-12-19,"","B","01.02.1.","Kurznarkotikum",9999-12-31,"","","thiopental inresa",NA,"Ospedalia AG"
67308,"Nipruss, Pulver zur Herstellung einer Infusionslösung","PULVI","C02DD01","S","Z","",2019-10-25,"","A","02.07.1.","Hypertone Krisen, Kontrollierte Hypotension bei Operationen",9999-12-31,"","","nipruss",NA,"Ospedalia AG"
65763,"Snake Antivenin I.P.","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","snake antivenin i.p.",NA,"Armeeapotheke"
65760,"SAIMR Echis Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","saimr echis antivenom",NA,"Armeeapotheke"
65761,"SAIMR Polyvalent Snake Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","saimr polyvalent snake antivenom",NA,"Armeeapotheke"
59330,"Diazepam 10 AApot Auto-Injektor, Injektionslösung","LSPA","N05BA01","S","BA","",NA,"","B","15.01.0.","Notfallbehandlung von Krampfzuständen, welche von Kampf-Nervengiften verursacht werden",2010-05-27,"","","diazepam 10 aapot auto-injektor",NA,"Armeeapotheke"
60300,"NaCl 0.9 % AApot, Injektionslösung","LSINJ","B05BB01","S","Z","",2009-12-17,"","B","05.03.2.","Trägerlösung für Arzneimittel",9999-12-31,"","","nacl 0.9 % aapot",NA,"Armeeapotheke"
65744,"Antivenin Latrodectus mactans","LSPA","J06AA03","BL","BA","",NA,"","A","15.01.0.","Antivenin",2016-12-31,"","","antivenin latrodectus mactans",NA,"Armeeapotheke"
65745,"Antivipmyn","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","antivipmyn",NA,"Armeeapotheke"
65746,"Antivipmyn TRI","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","antivipmyn tri",NA,"Armeeapotheke"
65747,"Banded Krait Antivenin","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","banded krait antivenin",NA,"Armeeapotheke"
65748,"Black Snake Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","black snake antivenom",NA,"Armeeapotheke"
65749,"Brown Snake Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","brown snake antivenom",NA,"Armeeapotheke"
65750,"Cobra Antivenin","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","cobra antivenin",NA,"Armeeapotheke"
65751,"CroFab","LSPA","J06AA03","AV","B","",2019-01-30,"","A","15.01.0.","Antivenin",2025-09-11,"","X","crofab",NA,"Armeeapotheke"
65752,"Death Adder Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","death adder antivenom",NA,"Armeeapotheke"
65753,"Green Pit Viper Antivenin","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","green pit viper antivenin",NA,"Armeeapotheke"
65754,"King Cobra Antivenin","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","king cobra antivenin",NA,"Armeeapotheke"
65755,"Malayan Pit Viper Antivenin","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","malayan pit viper antivenin",NA,"Armeeapotheke"
65756,"Polyvalent Snake Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","polyvalent snake antivenom",NA,"Armeeapotheke"
65757,"Red Back Spider Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","red back spider antivenom",NA,"Armeeapotheke"
65758,"Russell's Viper Antivenin","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","russell's viper antivenin",NA,"Armeeapotheke"
65759,"SAIMR Boomslang Antivenom","LSPA","J06AA03","AV","Z","",2017-05-10,"","A","15.01.0.","Antivenin",9999-12-31,"","X","saimr boomslang antivenom",NA,"Armeeapotheke"
58524,"ATOX II ComboPen Auto-Injector, Injektionslösung","LSPA","V03AB","AD","Z","",2009-12-17,"","B","15.01.0.","Vergiftungen mit Nervenkampfstoffen oder anderen phosphororganischen Cholinesterasehemmstoffen",9999-12-31,"","","atox ii combopen auto-injector",NA,"Armeeapotheke"
57068,"Kaliumiodid 65 SERB, Tabletten","TAB","V03AB21","S","Z","",2004-10-13,"","D","15.03.0.","Prophylaxe der Inkorporation von radioaktiven Iodisotopen bei Reaktorstörfällen",9999-12-31,"","","kaliumiodid 65 serb",NA,"DRAC AG"
33380,"Gentamicin AApot, Injektionslösung (i.m, i.v.)","LSINJ","J01GB03","S","Z","",1967-10-11,"","A","08.01.7.","Infektionskrankheiten",9999-12-31,"","","gentamicin aapot",NA,"Armeeapotheke"
56659,"Calciumgluconat 2.5% AApot, Hydrogel","GELK","V03AB","AD","Z","",2009-01-26,"","D","15.01.0.","Antidot",9999-12-31,"","","calciumgluconat 2.5% aapot",NA,"Armeeapotheke"
67393,"Cellcept, Kapseln","KAPS","L04AA06","S","Z","P",2019-10-02,"53337","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
66783,"Prograf, Kapseln","KAPS","L04AD02","S","Z","P",2018-06-11,"53152","A","07.15.0.","Immunsuppressivum",9999-12-31,"","","prograf",4,"APS-Arzneimittel-Parallelimport-"
67300,"Cerazette, Filmtabletten","FILM","G03AC09","S","Z","P",2019-06-20,"55155","B","09.02.1.","Hormonales Kontrazeptivum",9999-12-31,"","","cerazette",4,"APS-Arzneimittel-Parallelimport-"
67301,"FEMARA, Filmtabletten","FILM","L02BG04","S","Z","P",2019-07-02,"54018","B","07.16.2.","Zytostatikum",9999-12-31,"","","femara",4,"APS-Arzneimittel-Parallelimport-"
67302,"FEMARA, Filmtabletten","FILM","L02BG04","S","Z","P",2019-07-02,"","B","07.16.2.","Zytostatikum",9999-12-31,"","","femara",4,"APS-Arzneimittel-Parallelimport-"
67303,"FEMARA, Filmtabletten","FILM","L02BG04","S","Z","P",2019-07-02,"54018","B","07.16.2.","Zytostatikum",9999-12-31,"","","femara",4,"APS-Arzneimittel-Parallelimport-"
67385,"Cerazette, Filmtabletten","FILM","G03AC09","S","Z","P",2019-09-25,"55155","B","09.02.1.","Hormonales Kontrazeptivum",9999-12-31,"","","cerazette",4,"APS-Arzneimittel-Parallelimport-"
67386,"Cerazette, Filmtabletten","FILM","G03AC09","S","Z","P",2019-09-25,"55155","B","09.02.1.","Hormonales Kontrazeptivum",9999-12-31,"","","cerazette",4,"APS-Arzneimittel-Parallelimport-"
67387,"Cellcept, Kapseln","KAPS","L04AA06","S","Z","P",2019-10-02,"53337","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
67388,"Cellcept, Filmtabletten","FILM","L04AA06","S","Z","P",2019-10-02,"53338","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
67389,"Cellcept, Kapseln","KAPS","L04AA06","S","Z","P",2019-10-02,"53337","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
67390,"Cellcept, Filmtabletten","FILM","L04AA06","S","Z","P",2019-10-02,"53338","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
67391,"Cellcept, Kapseln","KAPS","L04AA06","S","Z","P",2019-10-02,"53337","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
67392,"Cellcept, Filmtabletten","FILM","L04AA06","S","Z","P",2019-10-02,"53338","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
67394,"Cellcept, Filmtabletten","FILM","L04AA06","S","Z","P",2019-10-02,"53338","B","07.15.0.","Immunsuppressivum",9999-12-31,"","","cellcept",9,"APS-Arzneimittel-Parallelimport-"
38051,"Biodoron 150 mg, Hartkapseln","KAHA","N02CX","A","Z","",1982-11-23,"","B","20.02.","Gemäss der anthroposophischen Menschen- und Naturerkenntnis zur Basis- (Intervall-) und Anfallsbehandlung von Migräne, vor allem der klassischen Migräne und bei vasomotorischen (migräneartigen) Kopfschmerzen",9999-12-31,"","","biodoron 150 mg",NA,"Weleda AG"
56802,"Buscopan, Dragées","DRAG","A03BB01","S","Z","P",2007-10-18,"17353","D","04.02.0.","Spasmolyticum",9999-12-31,"","","buscopan",3,"APS-Arzneimittel-Parallelimport-"
44812,"Norit, Kapseln","KAPS","A07BA01","P","Z","",1987-06-02,"","D","04.10.0.","Durchfall",9999-12-31,"","","norit",NA,"APS-Arzneimittel-Parallelimport-"
53888,"Arkocaps charbon végétal, gélules","KAHA","A07BA01","P","Z","",1997-11-04,"","D","04.10.0.","",9999-12-31,"","","arkocaps charbon végétal",NA,"Arko Diffusion AG"
57035,"Arkocaps Harpadol, gélules","KAHA","M01AX","P","Z","",2006-07-07,"","D","07.10.6.","",9999-12-31,"","","arkocaps harpadol",NA,"Arko Diffusion AG"
57037,"Arkocaps Artichaut 200 mg, gélules","KAHA","A05AX","P","Z","",2006-06-01,"","D","04.11.2.","",9999-12-31,"","","arkocaps artichaut 200 mg",NA,"Arko Diffusion AG"
57264,"Phytopharma Charbon végétal, gélules","KAPS","A07BA01","P","Z","C",2005-02-11,"53888","D","04.10.0.","",9999-12-31,"","","phytopharma charbon végétal",NA,"Arko Diffusion AG"
57426,"Arkocaps Escholtzia, gélules","KAHA","N05CM","P","Z","",2008-08-22,"","D","01.04.1.","",9999-12-31,"","","arkocaps escholtzia",NA,"Arko Diffusion AG"
48560,"Arkocaps Orthosiphon 325 mg, gélules","KAPS","G04BX","P","Z","",1992-12-17,"","D","05.02.0.","",9999-12-31,"","","arkocaps orthosiphon 325 mg",NA,"Arko Diffusion AG"
57605,"Arkocaps Millepertuis, gélules","KAHA","N06AX","P","Z","",2007-08-15,"","D","01.04.1.","",9999-12-31,"","","arkocaps millepertuis",NA,"Arko Diffusion AG"
47334,"Arkocaps Passiflore 300 mg, gélule","KAPS","N05CM","P","Z","",1986-09-19,"","D","01.04.1.","",9999-12-31,"","","arkocaps passiflore 300 mg",NA,"Arko Diffusion AG"
62696,"LatanoTim-Vision, Augentropfen","AUL","S01ED51","S","Z","",2013-02-13,"","B","11.09.0.","Weitwinkelglaukom, okuläre Hypertension",9999-12-31,"","","latanotim-vision",NA,"OmniVision AG"
65629,"DorzoComp-Vision, Augentropfen","AUGT","S01ED51","S","Z","",2016-04-07,"","B","11.09.0.","Glaukom",9999-12-31,"","","dorzocomp-vision",NA,"OmniVision AG"
66505,"Travo-Vision, Augentropfen","AUL","S01EE04","S","Z","",2017-09-28,"","B","11.09.0.","Glaukom",9999-12-31,"","","travo-vision",NA,"OmniVision AG"
66942,"Lacri-Vision, Augen-Gel","AUGG","S01XA20","BT","Z","",2018-10-25,"","B","11.08.2.","Tränenflüssigkeitsersatz",9999-12-31,"","","lacri-vision",NA,"OmniVision AG"
67232,"TravoTim-Vision, Augentropfen","AUGT","S01ED51","S","Z","",2020-04-24,"","B","11.09.0.","Okuläre Hypertension, Offenwinkelglaukom",9999-12-31,"","","travotim-vision",NA,"OmniVision AG"
67312,"Brimo-Vision, Augentropfen","AUGT","S01EA05","S","Z","",2020-03-25,"","B","11.09.0.","Weitwinkelglaukom, okuläre Hypertension",9999-12-31,"","","brimo-vision",NA,"OmniVision AG"
62671,"Dorzo-Vision, Augentropfen","AUL","S01EC03","S","Z","",2012-10-11,"","B","11.09.0.","Glaukom",9999-12-31,"","","dorzo-vision",NA,"OmniVision AG"
62295,"Latano-Vision, Augentropfen","AUL","S01EE01","S","Z","",2012-02-28,"","B","11.09.0.","Glaukom",9999-12-31,"","","latano-vision",NA,"OmniVision AG"
58272,"Phytopharma Harpagophytum, gélules","KAHA","M01AX","P","Z","C",2007-04-20,"57035","D","07.10.6.","",9999-12-31,"","","phytopharma harpagophytum",NA,"Arko Diffusion AG"
66592,"Arkocaps Valériane nouvelle formule, gélules","KAPS","N05CM09","P","Z","",2018-07-24,"","D","01.04.1.","",9999-12-31,"","","arkocaps valériane nouvelle formule",NA,"Arko Diffusion AG"
66597,"Arkocaps Busserole nouvelle formule, gélules","KAPS","G04BX","P","Z","",2018-12-28,"","D","05.02.0.","",9999-12-31,"","","arkocaps busserole nouvelle formule",NA,"Arko Diffusion AG"
66732,"Arkocaps Marronnier d’Inde nouvelle formule, gélules","KAHA","C05CX","P","Z","",2018-07-10,"","D","02.08.1.","",9999-12-31,"","","arkocaps marronnier d’inde nouvelle formule",NA,"Arko Diffusion AG"
66947,"Arkocaps Chardon Marie 390 mg nouvelle formule, gélules","KAPS","A05BA03","P","Z","",2018-02-22,"","D","04.11.2.","",9999-12-31,"","","arkocaps chardon marie 390 mg nouvelle formule",NA,"Arko Diffusion AG"
23855,"Mydriaticum Dispersa, Augentropfen","AUL","S01FA06","S","Z","",1957-10-18,"","B","11.02.0.","Zur diagnostischen und praeoperativen Mydriasis",9999-12-31,"","","mydriaticum dispersa",NA,"OmniVision AG"
26073,"Spersacarpine 2%, Augentropfen","AUGT","S01EB01","S","Z","",1960-07-01,"","B","11.01.0.","Miotikum",9999-12-31,"","","spersacarpine 2%",NA,"OmniVision AG"
29804,"Scopolamine 0,25% Dispersa, Augentropfen","AUL","S01FA02","S","Z","",1963-10-08,"","B","11.02.0.","Mydriatikum",9999-12-31,"","","scopolamine 0",NA,"OmniVision AG"
31069,"Spersadex mono 0.1%, Augentropfen","AUL","S01BA01","S","Z","",1964-11-24,"","A","11.06.1.","Nicht infizierte Augenentzündungen",9999-12-31,"","","spersadex mono 0.1%",NA,"OmniVision AG"
36289,"Novesin 0,4 %, Augentropfen","AUGT","S01HA02","S","Z","",1971-03-01,"","B","11.03.0.","Hornhaut- und Bindehaut-Oberflächenanästhesie",9999-12-31,"","","novesin 0",NA,"OmniVision AG"
36290,"Spersapolymyxin, Augentropfen","AUGT","S01AA30","S","Z","",1971-03-15,"","A","11.07.1.","Augeninfektionen",9999-12-31,"","","spersapolymyxin",NA,"OmniVision AG"
38412,"Glaupax, Tabletten","TAB","S01EC01","S","Z","",1975-01-13,"","B","11.09.0.","Glaukom",9999-12-31,"","","glaupax",NA,"OmniVision AG"
47039,"NaCl 5 % Dispersa, Augentropfen","AUGT","S01XA03","S","Z","",1986-03-17,"","B","11.99.0.","Behandlung des Corneaoedems",9999-12-31,"","","nacl 5 % dispersa",NA,"OmniVision AG"
54756,"Fluoresceine Oxybuprocaine SDU Faure, Augentropfen","AUGT","S01JA51","S","Z","",1999-01-11,"","B","11.99.0.","Augendiagnostik",9999-12-31,"","","fluoresceine oxybuprocaine sdu faure",NA,"OmniVision AG"
61219,"KetoVision, Augentropfen","AUGT","S01BC05","S","Z","",2011-07-27,"","B","11.06.3.","Nichtsteroidaler Entzündungshemmer zur lokalen Applikation am Auge",9999-12-31,"","","ketovision",NA,"OmniVision AG"
62630,"Xeljanz, Filmtabletten","FILM","L04AA29","S","Z","",2013-07-12,"","B","07.15.0.","Selektives Immunsuppressivum",9999-12-31,"","","xeljanz",NA,"Pfizer AG"
62672,"Zinforo, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung","PULPA","J01DI02","S","Z","",2013-08-29,"","A","08.01.3.","Infektionskrankheiten",9999-12-31,"","","zinforo",NA,"Pfizer AG"
65367,"Inflectra, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung","PULPA","L04AB02","BT","Z","",2015-10-09,"55184","A","07.15.0.","Rheumatoide Arthritis; Psoriatische Arthritis; Morbus Crohn; Morbus Bechterew; aktive ulcerative Colitis; Plaque-Psoriasis",9999-12-31,"","","inflectra",NA,"Pfizer AG"
65770,"Voriconazol Pfizer, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung","PULPI","J02AC03","S","Z","C",2015-04-24,"55945","A","08.06.0.","Pilzinfektionen",9999-12-31,"","","voriconazol pfizer",3,"Pfizer AG"
65771,"Voriconazol Pfizer, Pulver zur Herstellung einer Suspension zum Einnehmen","PULS","J02AC03","S","Z","C",2015-04-24,"56819","A","08.06.0.","Pilzinfektionen",9999-12-31,"","","voriconazol pfizer",3,"Pfizer AG"
65772,"Voriconazol Pfizer, Filmtabletten","FILM","J02AC03","S","Z","C",2015-04-24,"55946","A","08.06.0.","Pilzinfektionen",9999-12-31,"","","voriconazol pfizer",3,"Pfizer AG"
66022,"Besponsa, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung","PULPA","L01FB01","BT","Z","",2017-07-10,"","A","07.16.1.","akute lymphoblastische Leukämie",9999-12-31,"","","besponsa",NA,"Pfizer AG"
66138,"Ibrance, Hartkapseln","KAHA","L01EF01","S","Z","",2017-01-31,"","A","07.16.1.","Mammakarzinom",9999-12-31,"","","ibrance",2,"Pfizer AG"
66250,"Linezolid Pfizer, Granulat zur Herstellung einer Suspension zum Einnehmen","GRAS","J01XX08","S","Z","C",2016-06-09,"55559","A","08.01.9.","Infektionskrankheiten",9999-12-31,"","","linezolid pfizer",3,"Pfizer AG"
